Ref,Nom,Prenom,genre,Date embauche,date naissance,company
1,Rakoto,Alain,Masculin,01/01/2024,15/06/1980,My Company
2,Rasoa,Jeanne,Feminin,15/05/2024,10/09/1990,My Company
3,Rabe,Pierre,Male,10/07/2024,20/12/1985,My Company
4,Randrian,Marie,Female,05/12/2024,10/03/1975,My Company
5,Ramaro,Luc,Masculin,1/03/2025,01/01/1982,My Company
6,Rasolo,Claire,Feminin,01/06/2024,15/06/1995,My Company
7,Rakotobe,Jean,Male,15/09/2024,01/01/1978,My Company
8,Ranivo,Sophie,Female,10/11/2024,20/04/1988,My Company
9,Ralala,Henri,Masculin,25/02/2025,15/07/1992,My Company
10,Ramana,Emma,Feminin,30/08/2024,05/12/1997,My Company
